arm_id,protected_attribute,condition,num_transforms,test_auroc,test_auprc,test_accuracy,test_positives_0_5,test_positive_rate,test_max_dphi,train_max_dphi,epsilon_threshold,test_dp_difference,test_eo_difference
D6_ARM_001,SEX_A,baseline,0,0.7517,0.215,0.9197,130,0.00402,0.00393,0.00477,0.0005,0.0006,0.0003
D6_ARM_001,SEX_A,canonical_fairbias,10,0.6636,0.1405,0.9207,2,6e-05,0.0014,0.00049,0.0005,0.0,0.0
D6_ARM_001,SEX_A,posthoc_enhancement,10,0.6636,0.1405,0.9207,2,6e-05,0.0014,0.00049,0.0005,0.0,0.0
D6_ARM_001,SEX_A,joint_enhancement,13,0.7368,0.2039,0.9194,116,0.00359,0.00131,0.00048,0.0005,0.0002,0.0012
D6_ARM_002,HISPALLP_A,baseline,0,0.7514,0.2145,0.9197,127,0.00393,0.00539,0.0053,0.002,0.0087,0.0381
D6_ARM_002,HISPALLP_A,canonical_fairbias,9,0.7328,0.1798,0.9205,43,0.00133,0.00212,0.00191,0.002,0.0038,0.0137
D6_ARM_002,HISPALLP_A,posthoc_enhancement,9,0.7328,0.1798,0.9205,43,0.00133,0.00212,0.00191,0.002,0.0038,0.0137
D6_ARM_002,HISPALLP_A,joint_enhancement,2,0.7653,0.2219,0.9199,124,0.00383,0.00479,0.00362,0.002,0.0064,0.036
D6_ARM_003,DISAB3_A,baseline,0,0.7513,0.214,0.9196,131,0.00405,0.00926,0.01098,0.005,0.0131,0.0537
D6_ARM_003,DISAB3_A,canonical_fairbias,6,0.7344,0.2025,0.9196,104,0.00321,0.00458,0.00497,0.005,0.0049,0.0278
D6_ARM_003,DISAB3_A,posthoc_enhancement,9,0.7588,0.214,0.9199,100,0.00309,0.00814,0.00849,0.005,0.0066,0.0345
D6_ARM_003,DISAB3_A,joint_enhancement,11,0.7132,0.1833,0.9194,80,0.00247,0.00535,0.00571,0.005,0.0018,0.0109
D6_ARM_004,DISAB3_A,baseline,0,0.7353,0.1986,0.9195,88,0.00272,0.01551,0.01788,0.005,0.0021,0.0135
D6_ARM_004,DISAB3_A,canonical_fairbias,8,0.667,0.159,0.9193,67,0.00207,0.00459,0.00363,0.005,0.0001,0.0039
D6_ARM_004,DISAB3_A,posthoc_enhancement,8,0.667,0.159,0.9193,67,0.00207,0.00459,0.00363,0.005,0.0001,0.0039
D6_ARM_004,DISAB3_A,joint_enhancement,9,0.7222,0.19,0.9194,86,0.00266,0.01125,0.0118,0.005,0.0019,0.0149
