arm_id,year,state_index,preceding_state_index,pathwise_marginal_delta_d_phi,cumulative_delta_from_baseline_d_phi,pathwise_marginal_delta_auroc,cumulative_delta_from_baseline_auroc,pathwise_marginal_delta_auprc,cumulative_delta_from_baseline_auprc,pathwise_marginal_delta_ks_statistic,cumulative_delta_from_baseline_ks_statistic,pathwise_marginal_delta_selection_rate,cumulative_delta_from_baseline_selection_rate,pathwise_marginal_delta_count_predicted_positive,cumulative_delta_from_baseline_count_predicted_positive
D6_ARM_001,2022,1,0,0.0006743307197370017,0.0006743307197370017,4.0700256609738084e-05,4.0700256609738084e-05,-0.0015225823268582295,-0.0015225823268582295,-0.002318902073047413,-0.002318902073047413,3.6429872495446266e-05,3.6429872495446266e-05,1.0,1.0
D6_ARM_001,2022,2,1,-0.004518203365665545,-0.003843872645928543,-0.0033875644625257495,-0.0033468642059160114,-0.0031699349768056218,-0.004692517303663851,-0.006696215772025171,-0.009015117845072584,-0.0003278688524590164,-0.00029143897996357013,-9.0,-8.0
D6_ARM_001,2022,3,2,-8.199303905499528e-05,-0.003925865684983538,-0.0003404381658874689,-0.0036873023718034803,-0.0012208011542582387,-0.00591331845792209,0.003285670742760316,-0.005729447102312268,7.285974499089253e-05,-0.0002185792349726776,2.0,-6.0
D6_ARM_001,2022,4,3,1.7559543663062268e-05,-0.0039083061413204764,-0.002775949005506151,-0.006463251377309631,-0.004821495409386367,-0.010734813867308457,-0.005256804641563861,-0.01098625174387613,-7.285974499089253e-05,-0.00029143897996357013,-2.0,-8.0
D6_ARM_001,2022,5,4,5.216041106916069e-05,-0.0038561457302513156,0.00010658228366922096,-0.00635666909364041,0.0008815984408077349,-0.009853215426500722,-0.0015454871372770351,-0.012531738881153165,-7.285974499089253e-05,-0.00036429872495446266,-2.0,-10.0
D6_ARM_001,2022,6,5,-2.9576903939280215e-05,-0.0038857226341905957,0.00025066207254897943,-0.006106007021091431,-0.00023464494599700902,-0.010087860372497731,-0.001922795465317928,-0.014454534346471093,0.0001092896174863388,-0.00025500910746812386,3.0,-7.0
D6_ARM_001,2022,7,6,-0.00014640730082121362,-0.004032129935011809,-0.0012624893822186234,-0.007368496403310054,-0.0008454489708232815,-0.010933309343321013,0.0004833843348564515,-0.013971150011614641,3.6429872495446266e-05,-0.0002185792349726776,1.0,-6.0
D6_ARM_001,2022,8,7,-0.0002110484004553912,-0.0042431783354672,-0.005735918641221693,-0.013104415044531748,-0.003009493817703379,-0.013942803161024392,-0.007462917036478001,-0.021434067048092642,-7.285974499089253e-05,-0.00029143897996357013,-2.0,-8.0
D6_ARM_001,2022,9,8,1.826560572287827e-06,-0.004241351774894913,-0.00019011796448797913,-0.013294533009019727,-0.0003293719358455349,-0.014272175096869927,0.0018462596122988395,-0.019587807435793803,-0.0001092896174863388,-0.0004007285974499089,-3.0,-11.0
D6_ARM_001,2022,10,9,-2.8419003298564127e-06,-0.004244193675224769,-0.01347757410357786,-0.026772107112597587,-0.0033877497725811057,-0.017659924869451032,-0.02539110492259805,-0.044978912358391854,-7.285974499089253e-05,-0.00047358834244080146,-2.0,-13.0
D6_ARM_001,2022,11,10,1.5241924503542337e-05,-0.004228951750721226,-9.185623084495553e-05,-0.026863963343442543,8.987572488128315e-05,-0.01757004914456975,0.0006928508799609601,-0.044286061478430894,0.0,-0.00047358834244080146,0.0,-13.0
D6_ARM_001,2022,12,11,8.918091713573564e-05,-0.0041397708335854915,-0.04586127587182043,-0.07272523921526297,-0.0549455363790495,-0.07251558552361925,-0.07185776684493711,-0.116143828323368,-0.003169398907103825,-0.0036429872495446266,-87.0,-100.0
D6_ARM_001,2022,13,12,4.4022847723612776e-05,-0.0040957479858618785,-0.0019160817940003794,-0.07464132100926335,-0.00025768842838638784,-0.07277327395200564,-0.006579397891101513,-0.12272322621446952,-0.0001092896174863388,-0.0037522768670309654,-3.0,-103.0
D6_ARM_001,2022,14,13,-7.776686726964374e-05,-0.004173514853131522,0.00012036181889785169,-0.0745209591903655,0.00022486188438430865,-0.07254841206762133,0.0010567318653667002,-0.12166649434910282,0.0,-0.0037522768670309654,0.0,-103.0
D6_ARM_001,2022,15,14,-0.00011120506651539266,-0.004284719919646915,-0.00030301770280671825,-0.07482397689317222,-0.0003124330868197467,-0.07286084515444108,-0.0016072529133976943,-0.12327374726250051,0.0,-0.0037522768670309654,0.0,-103.0
D6_ARM_001,2023,1,0,0.00042925750196270984,0.00042925750196270984,-0.0004404570532384744,-0.0004404570532384744,-0.000931241910130387,-0.000931241910130387,-0.0015305863644231033,-0.0015305863644231033,6.831301021279499e-05,6.831301021279499e-05,2.0,2.0
D6_ARM_001,2023,2,1,-0.0035052042688977327,-0.003075946766935023,-0.0025976369846837377,-0.003038094037922212,-0.0024892728028058364,-0.0034205147129362234,-0.006467246304812546,-0.00799783266923565,-0.00034156505106397537,-0.0002732520408511804,-10.0,-8.0
D6_ARM_001,2023,3,2,-0.0001589147965824348,-0.003234861563517458,0.0004535555135495306,-0.0025845385243726815,-0.0007324029381588493,-0.004152917651095073,0.005443121101881165,-0.002554711567354484,-0.00013662602042558997,-0.00040987806127677036,-4.0,-12.0
D6_ARM_001,2023,4,3,0.00014347960481208037,-0.0030913819587053775,-0.0032021091288647607,-0.005786647653237442,-0.005215404289563241,-0.009368321940658314,-0.0070919348135692895,-0.009646646380923773,-0.00020493903063838496,-0.0006148170919151553,-6.0,-18.0
D6_ARM_001,2023,5,4,-0.00015130415226914684,-0.0032426861109745245,-0.0006912992027265918,-0.006477946855964034,0.0005245374591069107,-0.008843784481551403,0.0005567888201399862,-0.009089857560783787,-6.831301021279499e-05,-0.0006831301021279503,-2.0,-20.0
D6_ARM_001,2023,6,5,-0.00015950985383582545,-0.00340219596481035,-0.0001404719828292933,-0.006618418838793327,-0.00023608810007508252,-0.009079872581626486,0.0007678806494075818,-0.008321976911376205,-3.415650510639771e-05,-0.000717286607234348,-1.0,-21.0
D6_ARM_001,2023,7,6,-1.8967036936816503e-05,-0.0034211630017471663,0.0004128953147546355,-0.006205523524038692,-0.00035756707404849264,-0.009437439655674978,-0.0029579015106486195,-0.011279878422024825,0.00017078252553198768,-0.0005465040817023603,5.0,-16.0
