record_type,year,arm_id,feature,transform_family,transform_type,original_cardinality,terminal_cardinality,cardinality_reduction,nmi_y_before,nmi_y_after,delta_nmi_y,nmi_a_before,nmi_a_after,delta_nmi_a,post_state,category,state,n,outcome_positive_count,outcome_prevalence
feature_summary,2022,D6_ARM_001,agep_a,Family_I,feature_drop,68.0,1.0,67.0,0.006364275236492504,0.0,-0.006364275236492504,0.0010014424082844854,0.0,-0.0010014424082844854,dropped_constant_equivalent,,,,,
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,18.0,before,211.0,6.0,0.02843601895734597
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,19.0,before,202.0,11.0,0.054455445544554455
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,20.0,before,208.0,13.0,0.0625
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,21.0,before,223.0,17.0,0.07623318385650224
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,22.0,before,262.0,21.0,0.08015267175572519
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,23.0,before,320.0,35.0,0.109375
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,24.0,before,296.0,25.0,0.08445945945945946
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,25.0,before,337.0,30.0,0.08902077151335312
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,26.0,before,348.0,39.0,0.11206896551724138
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,27.0,before,364.0,27.0,0.07417582417582418
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,28.0,before,356.0,31.0,0.08707865168539326
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,29.0,before,399.0,31.0,0.07769423558897243
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,30.0,before,436.0,31.0,0.07110091743119266
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,31.0,before,447.0,45.0,0.10067114093959731
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,32.0,before,416.0,39.0,0.09375
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,33.0,before,418.0,41.0,0.09808612440191387
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,34.0,before,456.0,45.0,0.09868421052631579
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,35.0,before,415.0,36.0,0.08674698795180723
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,36.0,before,458.0,53.0,0.11572052401746726
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,37.0,before,481.0,43.0,0.0893970893970894
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,38.0,before,416.0,48.0,0.11538461538461539
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,39.0,before,411.0,40.0,0.09732360097323602
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,40.0,before,453.0,30.0,0.06622516556291391
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,41.0,before,421.0,33.0,0.07838479809976247
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,42.0,before,399.0,37.0,0.09273182957393483
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,43.0,before,395.0,38.0,0.09620253164556962
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,44.0,before,401.0,28.0,0.06982543640897755
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,45.0,before,392.0,43.0,0.1096938775510204
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,46.0,before,367.0,27.0,0.07356948228882834
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,47.0,before,397.0,31.0,0.07808564231738035
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,48.0,before,357.0,34.0,0.09523809523809523
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,49.0,before,358.0,46.0,0.12849162011173185
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,50.0,before,355.0,25.0,0.07042253521126761
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,51.0,before,429.0,34.0,0.07925407925407925
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,52.0,before,420.0,28.0,0.06666666666666667
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,53.0,before,389.0,28.0,0.07197943444730077
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,54.0,before,425.0,26.0,0.0611764705882353
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,55.0,before,400.0,36.0,0.09
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,56.0,before,415.0,30.0,0.07228915662650602
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,57.0,before,495.0,40.0,0.08080808080808081
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,58.0,before,493.0,40.0,0.08113590263691683
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,59.0,before,456.0,39.0,0.08552631578947369
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,60.0,before,506.0,34.0,0.06719367588932806
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,61.0,before,510.0,33.0,0.06470588235294118
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,62.0,before,546.0,36.0,0.06593406593406594
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,63.0,before,524.0,33.0,0.06297709923664122
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,64.0,before,555.0,35.0,0.06306306306306306
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,65.0,before,495.0,26.0,0.052525252525252523
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,66.0,before,547.0,17.0,0.031078610603290677
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,67.0,before,555.0,17.0,0.03063063063063063
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,68.0,before,552.0,24.0,0.043478260869565216
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,69.0,before,505.0,16.0,0.031683168316831684
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,70.0,before,485.0,17.0,0.03505154639175258
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,71.0,before,483.0,14.0,0.028985507246376812
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,72.0,before,483.0,9.0,0.018633540372670808
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,73.0,before,438.0,11.0,0.02511415525114155
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,74.0,before,443.0,13.0,0.029345372460496615
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,75.0,before,431.0,6.0,0.013921113689095127
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,76.0,before,302.0,6.0,0.019867549668874173
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,77.0,before,321.0,8.0,0.024922118380062305
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,78.0,before,294.0,4.0,0.013605442176870748
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,79.0,before,299.0,7.0,0.023411371237458192
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,80.0,before,265.0,4.0,0.01509433962264151
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,81.0,before,215.0,4.0,0.018604651162790697
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,82.0,before,231.0,2.0,0.008658008658008658
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,83.0,before,195.0,3.0,0.015384615384615385
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,84.0,before,186.0,2.0,0.010752688172043012
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,85.0,before,987.0,8.0,0.008105369807497468
category_state,2022,D6_ARM_001,agep_a,Family_I,feature_drop,,,,,,,,,,dropped_constant_equivalent,dropped_constant_equivalent,after,27450.0,1769.0,0.06444444444444444
feature_summary,2022,D6_ARM_001,asev_a,Family_I,categorical_merge,3.0,2.0,1.0,0.0032670393763732613,0.0005120476190559055,-0.002754991757317356,0.001749362677907545,0.0001394347013580406,-0.0016099279765495044,merged_categories,,,,,
category_state,2022,D6_ARM_001,asev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,before,26.0,0.0,0.0
category_state,2022,D6_ARM_001,asev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,before,3869.0,360.0,0.09304729904368053
category_state,2022,D6_ARM_001,asev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,before,23555.0,1409.0,0.05981744852472936
category_state,2022,D6_ARM_001,asev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,after,26.0,0.0,0.0
category_state,2022,D6_ARM_001,asev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,after,27424.0,1769.0,0.06450554259043174
feature_summary,2022,D6_ARM_001,diff_a,Family_I,categorical_merge,5.0,4.0,1.0,0.0023086631832634863,0.0018859897474356275,-0.00042267343582785876,0.004726729785088355,0.002044611763102557,-0.0026821180219857984,merged_categories,,,,,
category_state,2022,D6_ARM_001,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,before,4.0,0.0,0.0
category_state,2022,D6_ARM_001,diff_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,before,21427.0,1253.0,0.05847762169225743
