year,arm_id,model,group,outcome_stratum,n,outcome_positive_count,mean,std,median,iqr,p10,p25,p50,p75,p90,fraction_ge_0_5
2022,D6_ARM_001,baseline,1,all,12512,729,0.06594543786737,0.07583471438726466,0.04101487990615765,0.04995514351789571,0.015991428614492965,0.024948479951846646,0.04101487990615765,0.07490362346974236,0.14284957585084962,0.004076086956521739
2022,D6_ARM_001,baseline,1,Y0,11783,0,0.061025963388766404,0.06948602330443307,0.03925932881582473,0.04517083605134051,0.015548045777005349,0.024218304925122086,0.03925932881582473,0.0693891409764626,0.12650348455900054,0.003224985148094713
2022,D6_ARM_001,baseline,1,Y1,729,729,0.14546007131234423,0.11818289344646586,0.10996818923941967,0.14319953257929963,0.03632801722367966,0.05685180098992021,0.10996818923941967,0.20005133356921984,0.3052606641193765,0.01783264746227709
2022,D6_ARM_001,baseline,2,all,14938,1040,0.06323430418566736,0.07151858952730822,0.04026768183464152,0.050123811811887686,0.014868817655593048,0.02357856958262186,0.04026768183464152,0.07370238139450955,0.13404183986353996,0.003547998393359218
2022,D6_ARM_001,baseline,2,Y0,13898,0,0.05768905634703133,0.06289417406004909,0.038257052852160495,0.04478283061556963,0.014449986987592459,0.022820837274406123,0.038257052852160495,0.06760366788997575,0.11802190177747134,0.002086631169952511
2022,D6_ARM_001,baseline,2,Y1,1040,1040,0.13733801039851704,0.12131367637549828,0.09777723181532291,0.1223928061806335,0.031598357592170105,0.052887630175870004,0.09777723181532291,0.1752804363565035,0.2956486872147226,0.023076923076923078
2022,D6_ARM_001,fairbias,1,all,12512,729,0.06119042033080271,0.04403716553904828,0.047318874634742575,0.043797965133699754,0.024203619230146776,0.03183915069081819,0.047318874634742575,0.07563711582451794,0.1154981011426445,0.0
2022,D6_ARM_001,fairbias,1,Y0,11783,0,0.05943113028185657,0.04263821521916559,0.04600242253144262,0.041394959615096344,0.0239686708726345,0.03113681860173925,0.04600242253144262,0.0725317782168356,0.11153078450427897,0.0
2022,D6_ARM_001,fairbias,1,Y1,729,729,0.08962624289147815,0.05517721586795657,0.07722255515408832,0.06188152776975599,0.035737353239107886,0.05056646184819007,0.07722255515408832,0.11244798961794605,0.16057229485468602,0.0
2022,D6_ARM_001,fairbias,2,all,14938,1040,0.06717059456079166,0.04866562138474898,0.052324993557383924,0.04824585735135254,0.026016496424876308,0.03478324455811315,0.052324993557383924,0.08302910190946569,0.1280760371853496,6.694336591243807e-05
2022,D6_ARM_001,fairbias,2,Y0,13898,0,0.06463411353103862,0.04627986063361301,0.05056646184819007,0.045760546901844626,0.025680778199408855,0.033950679941007894,0.05056646184819007,0.07971122684285252,0.12208550832349985,7.19527989638797e-05
2022,D6_ARM_001,fairbias,2,Y1,1040,1040,0.10106676124493369,0.06453104557000038,0.08444673404793779,0.07607453949250015,0.03742627663077314,0.05357709821340062,0.08444673404793779,0.12965163770590077,0.18976250211290321,0.0
2022,D6_ARM_002,baseline,1,all,3915,415,0.09818037497782875,0.09711187311061786,0.0642683404973537,0.08489704914699715,0.024790032845516136,0.03666058156871377,0.0642683404973537,0.12155763071571092,0.22038641908392423,0.008173690932311623
2022,D6_ARM_002,baseline,1,Y0,3500,0,0.08936309780526198,0.08864429276486754,0.058560284438853194,0.07369497146259499,0.02387292806100944,0.03496519556865473,0.058560284438853194,0.10866016703124973,0.19700429582750295,0.005714285714285714
2022,D6_ARM_002,baseline,1,Y1,415,415,0.17254295354164478,0.1286343462924867,0.14195917435196215,0.15235901995931214,0.04358391807253921,0.08033978423753954,0.14195917435196215,0.23269880419685168,0.354288862340789,0.02891566265060241
2022,D6_ARM_002,baseline,2,all,18150,1022,0.055238242755636414,0.06380960413779858,0.03544731450706989,0.04110728121731054,0.013831163111823154,0.021537379574593063,0.03544731450706989,0.0626446607919036,0.11470888364777,0.0027548209366391185
2022,D6_ARM_002,baseline,2,Y0,17128,0,0.05082250450410194,0.05622929998675141,0.03409287914411953,0.0376273196386454,0.013581482397267424,0.02102846244246525,0.03409287914411953,0.05865578208111065,0.1032283666257061,0.001693134049509575
2022,D6_ARM_002,baseline,2,Y1,1022,1022,0.12924290495943538,0.11632002557448909,0.09170974874552787,0.11182541969234833,0.03141399229894085,0.04982312972560143,0.09170974874552787,0.16164854941794976,0.2793075598912072,0.02054794520547945
2022,D6_ARM_002,baseline,3,all,3054,210,0.07544267718568731,0.07636123568184569,0.051231508187563946,0.05751126667374004,0.020847799588586794,0.03180962861323158,0.051231508187563946,0.08932089528697162,0.15799013989589036,0.003601833660772757
2022,D6_ARM_002,baseline,3,Y0,2844,0,0.07121346664949561,0.07293627334968748,0.0488514399017641,0.05346981118051144,0.020349199611688847,0.030646400539977726,0.0488514399017641,0.08411621172048916,0.14746349274322273,0.003867791842475387
2022,D6_ARM_002,baseline,3,Y1,210,210,0.1327182713043976,0.09630694729478059,0.0999934330972182,0.12102313548666435,0.0386123027707327,0.061584344137041586,0.0999934330972182,0.18260747962370594,0.28382073264728963,0.0
2022,D6_ARM_002,baseline,4,all,1651,69,0.05376852779471522,0.05273887407995834,0.03826664073867782,0.037797408248126,0.017644796185328326,0.025411278805165083,0.03826664073867782,0.06320868705329108,0.1012674207884882,0.0012113870381586917
2022,D6_ARM_002,baseline,4,Y0,1582,0,0.05164877534291829,0.04962163244564242,0.03767174748028103,0.0353564599138117,0.01749650830379996,0.025080808768913408,0.03767174748028103,0.06043726868272511,0.09700112311261024,0.0012642225031605564
2022,D6_ARM_002,baseline,4,Y1,69,69,0.1023692289359144,0.08797532517177631,0.07472345989973078,0.10315638446874201,0.024994981284561762,0.0393017846516621,0.07472345989973078,0.1424581691204041,0.23023414878591142,0.0
2022,D6_ARM_002,baseline,5,all,185,8,0.10366313316778791,0.09745969099683055,0.07066717209391245,0.09259647100791628,0.023090971574799897,0.03737949965137506,0.07066717209391245,0.12997597065929134,0.22343567836580813,0.005405405405405406
2022,D6_ARM_002,baseline,5,Y0,177,0,0.10113895156513256,0.09702605706705515,0.06940906797975747,0.0893283305827288,0.02275349178865622,0.0365667608616499,0.06940906797975747,0.1258950914443787,0.2096006001272527,0.005649717514124294
2022,D6_ARM_002,baseline,5,Y1,8,8,0.1595106511265376,0.09617757655183408,0.16044019086637185,0.10514695497573634,0.03914507215255407,0.11018480591581442,0.16044019086637185,0.21533176089155076,0.2488864986074748,0.0
2022,D6_ARM_002,baseline,6,all,184,25,0.10223607956039964,0.12349738352203818,0.05984505034884542,0.08684204570271906,0.019038729150061277,0.03236875529886358,0.05984505034884542,0.11921080100158264,0.227555447527339,0.03260869565217391
2022,D6_ARM_002,baseline,6,Y0,159,0,0.08974212025969723,0.10686319478955972,0.05508506568808968,0.07259243049071346,0.01849242479895864,0.030368239574344487,0.05508506568808968,0.10296067006505795,0.20446678506678728,0.018867924528301886
2022,D6_ARM_002,baseline,6,Y1,25,25,0.18169766071286708,0.1830358421786604,0.10353979088641148,0.16198391140798318,0.03414576944270438,0.06784000160451265,0.10353979088641148,0.22982391301249583,0.43724139589392974,0.12
2022,D6_ARM_002,baseline,7,all,314,21,0.0825010946304555,0.09234274743868258,0.056008440549061275,0.05967588957455376,0.02205716316321223,0.03254717167521684,0.056008440549061275,0.0922230612497706,0.16922847885219253,0.012738853503184714
2022,D6_ARM_002,baseline,7,Y0,293,0,0.07404932170838578,0.07952098711589173,0.05260635725172864,0.05339372185190863,0.021778247640398492,0.03151357396396029,0.05260635725172864,0.08490729581586892,0.13939898831300285,0.006825938566552901
2022,D6_ARM_002,baseline,7,Y1,21,21,0.2004234501621902,0.1596201317141823,0.1678635961075617,0.20373873790650962,0.06250095293709661,0.07201193360222988,0.1678635961075617,0.2757506715087395,0.3284186861157169,0.09523809523809523
2022,D6_ARM_002,fairbias,1,all,3915,415,0.08539843035642546,0.06465731120459123,0.06702638388866496,0.06741748759746995,0.028733138070949307,0.04251871271481743,0.06702638388866496,0.10993620031228737,0.16255336283562877,0.0010217113665389529
2022,D6_ARM_002,fairbias,1,Y0,3500,0,0.08083171313404963,0.061373832133800425,0.06383569303653369,0.060771895815286525,0.02782902242325615,0.04113086596315907,0.06383569303653369,0.1019027617784456,0.1549152168388923,0.0008571428571428571
2022,D6_ARM_002,fairbias,1,Y1,415,415,0.12391291295477593,0.07762017687842221,0.10750390227756215,0.08288024400300048,0.0478101965063239,0.0691839376871474,0.10750390227756215,0.15206418169014788,0.2218594412192715,0.0024096385542168677
